iter	RMSE
0	0.277899762
1	0.268605761
2	0.2608704344
3	0.253863146
4	0.2477313209
5	0.2423948232
6	0.2375236717
7	0.233622863
8	0.2295467173
9	0.225902448
10	0.2232261353
11	0.2204793111
12	0.2181297331
13	0.215792282
14	0.2139731555
15	0.2117340749
16	0.2099872651
17	0.2087010589
18	0.2071239582
19	0.205762562
20	0.2048550809
21	0.2036356135
22	0.202817632
23	0.2018662154
24	0.2008606236
25	0.1995977817
26	0.1988378782
27	0.1976179138
28	0.196708791
29	0.1958954006
30	0.1951945526
31	0.1946368944
32	0.1934680604
33	0.192789401
34	0.1919189621
35	0.1911555478
36	0.1906516898
37	0.1902134425
38	0.1898093813
39	0.1892505329
40	0.1887195191
41	0.1883442617
42	0.1877768081
43	0.1872882299
44	0.1865979417
45	0.1861035169
46	0.1855989518
47	0.1852405307
48	0.184460985
49	0.184058103
50	0.1834490003
51	0.1829863282
52	0.1826590273
53	0.1824488602
54	0.1821121247
55	0.1818415831
56	0.1813041
57	0.1809122354
58	0.180504798
59	0.180262191
60	0.1798931723
61	0.1794673365
62	0.1791771519
63	0.178932623
64	0.1787018873
65	0.1783764491
66	0.1781574543
67	0.1777841631
68	0.1775817792
69	0.1773304886
70	0.1770202399
71	0.1767891878
72	0.176396237
73	0.17608884
74	0.1758837481
75	0.1757269798
76	0.1754676146
77	0.1751495676
78	0.1749110755
79	0.1745934888
80	0.1744245684
81	0.1740350774
82	0.173883989
83	0.1736101192
84	0.1734065218
85	0.1732266278
86	0.1730606617
87	0.1728090915
88	0.1726715902
89	0.1725209158
90	0.1721971699
91	0.1719564243
92	0.1716986603
93	0.171531993
94	0.1712794331
95	0.1711249374
96	0.1709096103
97	0.1707390649
98	0.1705616272
99	0.1704357591
