iter	Passed	Remaining
0	9	897
1	11	568
2	14	459
3	16	396
4	19	362
5	21	337
6	23	315
7	25	298
8	28	291
9	31	281
10	33	271
11	35	263
12	38	255
13	40	248
14	42	242
15	45	237
16	47	232
17	49	226
18	52	221
19	54	217
20	56	212
21	58	208
22	60	203
23	63	199
24	65	196
25	67	193
26	69	189
27	72	186
28	74	182
29	76	179
30	79	176
31	81	172
32	84	170
33	86	167
34	88	164
35	90	161
36	93	158
37	95	156
38	97	152
39	99	149
40	101	146
41	104	143
42	106	141
43	108	138
44	111	136
45	113	133
46	116	131
47	118	128
48	120	125
49	123	123
50	125	120
51	127	117
52	129	115
53	132	112
54	134	110
55	136	107
56	139	105
57	141	102
58	144	100
59	146	97
60	149	95
61	151	93
62	154	90
63	156	87
64	158	85
65	160	82
66	163	80
67	165	77
68	167	75
69	170	72
70	172	70
71	174	67
72	177	65
73	179	63
74	181	60
75	184	58
76	186	55
77	188	53
78	191	50
79	193	48
80	195	45
81	197	43
82	200	41
83	202	38
84	204	36
85	207	33
86	209	31
87	211	28
88	213	26
89	216	24
90	218	21
91	220	19
92	223	16
93	225	14
94	227	11
95	230	9
96	232	7
97	234	4
98	237	2
99	239	0
